singlish,alt1,sin
athara,,අතර
anuwa,anuva,අනුව
ane,,අනේ
anna,,අන්න
apoi,,අපොයි
apo,,අපෝ
ayyo,,අයියෝ
ayurin,,අයුරින්
ayuru,,අයුරු
arabaya,,අරබයා
aha,,අහා
aa,,ආ
aay,,ආයි
ah,,ආහ්
athi,,ඇති
athulu,,ඇතුළු
athule,,ඇතුළේ
ayi,,ඇයි
ikbithi,,ඉක්බිති
itha,,ඉතා
ithin,,ඉතින්
idiripasa,,ඉදිරි පස
idura,,ඉඳුරා
udesa,,උදෙසා
ui,,ඌයි
enamuth,,එනමුත්
enisa,,එනිසා
ebawin,ebavin,එබැවින්
ema,,එම
ehen,,එහෙන්
e,,ඒ
oho,,ඕහෝ
gana,,ගැන
ta,,ට
thawa,thava,තව 
thawath,thavath,තවත්
thak,,තාක්
thura,,තුරා
thurawata,thuravata,තුරාවට
thuru,,තුරු
thulin,,තුලින්
thula,,තුළ
thek,,තෙක්
da,,ද
dakwa,dakva,දක්වා
danata,,දැනට
dee,,දී
namuth ,,නමුත්
nam,,නම්
nawa,nava,නව
nathiwa ,nathiva ,නැතිව
na,,නෑ
nithara,,නිතර
nisa,,නිසා
nisawen,nisaven,නිසාවෙන්
nohoth,,නොහොත්
patan,,පටන්
patha,,පතා
pamana,,පමණ
pamanin,,පමණින්
paridi,,පරිදි
pawa,pava,පවා
pasuwa ,pasuva ,පසුව
pasa,,පාසා
pitatha,,පිටත
pitupasa ,,පිටුපස
pinisa,,පිණිස
pilibada,,පිළිබඳ
pilibadawa,pilibadava,පිළිබඳව
puna,,පුන
pera ,,පෙර
badu,,බඳු
bawa,bava,බව
bawata,bavata,බවට
bawath,bavath,බවත්
bawada,bavada,බවද
bawen,baven,බවෙන්
bawin,bavin,බැවින්
bala,,බොල
boho,,බොහෝ
matha,,මත
manda,,මන්ද
misa,,මිස
muth,,මුත්
methek,,මෙතෙක්
men,,මෙන්
mema,,මෙම
meyin,,මෙයින්
melesa,,මෙලෙස
mese,,මෙසේ
mahi,,මෙහි
mehen,,මෙහෙන්
me,,මේ
me,,මේ
methak,,මේතාක්
ya,,ය
yana,,යන
yali,,යලි
lesa,,ලෙස
wada,vada,වඩා
wadath,vadath,වඩාත්ම
wath,vath,වත්
wana,vana,වන
wanahi,vanahi,වනාහි
wan,van,වන්
washayen,vashayen,වශයෙන්
was,vas,වස්
waha,vaha,වහා
wedi,vedi,වැඩි
weni,veni,වැනි
wita,vita,විට
witin,vitin,විටින්
wishesha,vishesha,විශේෂ
wisin,visin,විසින්
wetha,vetha,වෙත
wetha,vetha,වෙත
wethata,vethata,වෙතට
wethin,vethin,වෙතින්
wethin,vethin,වෙතින්
wena,vena,වෙන
wenuwata,venuvata,වෙනුවට
wenuwen,venuven,වෙනුවෙන්
sri,,ශ්‍රී
sandaha,,සඳහා
samaga ,,සමග
samaga ,,සමඟ
saha,,සහ
sanin,,සැනින්
sita,,සිට
sita,,සිට
sidu,,සිදු
se,,සේ
seka,,සේක
seka,,සේක්
hanika,,හනික
ha,,හා
hara,,හැර
heyin,,හෙයින්
hewath,hevath,හෙවත්
ho,,හෝ‍
laga,,ළඟ 
